21,1,23,6,50,15,0,20,18,4,10,0,2,45,8,52,17,0,20,14,30,23,0,9
59,5,26,0,47,22,38,27,0,30,6,2,15,60,40,34,5,12,42,63,35,37,7,47
18,0,12,0,5,9,34,5,0,11,4,2,6,8,7,2,0,7,36,8,10,3,0,15
29,38,6,0,0,0,16,13,39,44,10,9,10,5,6,30,26,55,11,46,15,1,7,35
5,11,0,0,0,0,29,8,30,9,8,7,12,15,12,9,8,33,0,30,27,1,7,7
37,7,16,39,4,26,24,33,14,0,42,14,3,17,55,53,4,17,46,9,32,38,12,11
8,5,7,8,6,13,12,20,6,0,9,9,9,22,38,43,0,21,21,0,14,13,13,0
42,14,16,24,43,10,3,28,17,4,8,0,9,21,47,43,7,8,15,12,56,37,2,37
37,32,2,7,41,29,49,11,17,44,16,24,22,20,12,19,19,41,25,30,19,24,29,57
27,39,10,10,39,18,36,15,11,13,0,17,10,28,5,19,33,12,9,41,16,12,36,35
12,18,9,9,29,67,12,37,30,12,2,20,30,54,8,10,44,12,57,27,18,23,54,22
13,31,60,29,79,12,13,7,47,12,17,20,27,53,20,2,10,14,48,0,54,63,35,8
3,7,19,16,15,15,26,0,29,27,13,15,27,11,12,6,4,15,40,6,9,20,9,8
15,8,17,22,18,53,16,0,30,16,11,5,49,28,42,11,22,56,56,30,0,47,18,30
10,9,1,16,52,17,22,4,9,36,0,5,18,12,26,23,48,43,17,14,2,31,34,37
3,9,3,48,76,23,16,12,17,19,0,5,45,15,44,22,70,23,17,14,10,53,18,31
3,4,9,33,60,40,15,8,49,13,8,19,51,33,60,29,39,20,24,20,8,20,2,44
7,52,2,8,67,38,12,29,32,23,13,10,18,6,33,28,27,25,55,45,33,53,12,66
6,24,50,65,26,34,18,0,74,13,29,12,62,19,32,8,25,59,53,19,0,17,10,50
5,14,16,13,78,34,9,60,27,43,12,37,63,14,74,27,66,6,42,38,73,27,13,36
18,34,25,28,33,17,29,15,15,9,2,30,14,56,23,14,74,9,34,34,40,19,61,58
9,6,20,46,75,20,15,13,51,40,20,49,32,46,41,27,56,32,47,53,14,8,8,32
18,41,7,16,46,27,31,33,23,46,9,15,23,21,9,22,60,40,34,43,17,38,63,61
4,31,12,13,19,21,15,10,10,7,3,12,12,38,44,6,65,9,76,31,23,24,43,29
11,18,12,2,50,64,6,41,15,33,16,7,43,67,18,30,24,52,82,25,5,27,22,32
11,59,18,10,19,48,36,16,23,13,9,4,19,26,56,25,53,25,62,70,15,20,6,32
26,27,11,14,30,65,13,61,68,33,18,46,68,38,8,15,15,23,88,14,13,38,62,14
4,65,5,24,10,16,48,39,54,38,12,6,38,50,21,24,54,27,79,27,19,20,21,44
35,32,16,13,44,46,11,50,39,55,40,24,54,37,43,53,14,68,94,41,2,14,17,35
40,45,10,44,51,20,54,13,41,24,53,25,20,14,13,15,22,17,33,60,61,16,56,24
25,54,4,22,47,42,30,9,27,13,63,13,14,13,32,30,12,18,59,39,67,18,26,45
58,32,15,56,12,19,44,16,14,28,29,4,40,53,12,40,27,4,60,56,33,52,15,17
17,62,11,24,13,27,21,58,27,69,16,4,74,28,25,25,20,19,70,65,20,38,20,14
10,21,66,87,64,15,16,0,55,14,13,12,40,19,53,4,14,27,31,10,9,14,22,19
21,61,16,11,12,39,14,48,44,26,9,0,73,34,61,42,13,23,49,60,48,69,7,21
30,40,63,62,73,23,3,0,62,15,7,8,31,35,72,18,10,43,28,3,22,30,16,9
19,18,18,21,26,11,9,13,30,33,11,18,19,10,34,20,18,42,51,34,8,3,11,45
12,21,36,21,91,31,8,12,73,23,47,35,59,47,27,24,20,30,59,4,22,24,18,26
19,27,27,25,74,61,9,13,63,49,25,31,66,23,75,64,26,71,53,16,12,5,13,26
13,21,8,8,29,63,6,29,41,30,35,10,28,12,53,31,45,5,78,44,77,20,21,70
42,18,61,50,14,51,27,18,34,13,25,33,11,38,75,45,24,28,35,66,16,14,9,60
47,24,49,8,39,38,22,70,6,24,23,5,56,56,30,49,26,7,29,88,73,66,25,40
37,18,22,5,45,42,46,34,5,45,14,16,34,23,46,41,43,18,21,77,42,59,34,31
18,23,9,15,8,18,43,53,50,17,41,48,13,12,29,38,23,60,20,28,17,14,43,31
28,17,72,15,34,36,6,39,11,35,45,0,30,44,16,90,20,4,28,66,30,71,3,14
68,13,38,5,21,17,43,30,12,66,26,19,36,15,20,23,23,50,54,43,40,19,10,65
24,42,51,21,28,38,29,20,44,0,10,7,12,20,94,74,9,43,69,23,68,51,11,21
36,6,68,0,80,42,8,58,12,16,20,0,20,90,14,90,14,4,40,66,40,58,4,22
